x, y, th, stamp, 
-1.3198813199996948, -3.533189535140991, 3.135611533539841, 1759349334767289882, 
-1.3198813199996948, -3.533189535140991, 3.135611533539841, 1759349334817626993, 
-1.3198813199996948, -3.533189535140991, 3.135611534964551, 1759349334878447547, 
-1.3203257322311401, -3.533062219619751, 3.139714002538519, 1759349334927525131, 
-1.3225984573364258, -3.533186435699463, -3.122976062543429, 1759349334977414976, 
-1.3261263370513916, -3.533287286758423, -3.0941011893846295, 1759349335027556978, 
-1.330224871635437, -3.5334558486938477, -3.0591874030914514, 1759349335073368662, 
-1.3353135585784912, -3.5337319374084473, -3.0155124674645366, 1759349335118472876, 
-1.341447353363037, -3.5344645977020264, -2.96258734644956, 1759349335167871081, 
-1.3473703861236572, -3.5352656841278076, -2.9094145163636322, 1759349335217483682, 
-1.3542290925979614, -3.536710739135742, -2.8477163459969965, 1759349335277381693, 
-1.3596737384796143, -3.5380594730377197, -2.7962532389034758, 1759349335327394838, 
-1.3652616739273071, -3.5398755073547363, -2.745468560850477, 1759349335377401445, 
-1.3708380460739136, -3.5419111251831055, -2.693681463984194, 1759349335427374688, 
-1.376686453819275, -3.544146776199341, -2.6391161031499553, 1759349335479405597, 
-1.380743145942688, -3.5462000370025635, -2.5992077748202442, 1759349335518484663, 
-1.3857766389846802, -3.549160957336426, -2.547740098759098, 1759349335567159332, 
-1.3908954858779907, -3.552319288253784, -2.494583406669866, 1759349335617835864, 
-1.3964776992797852, -3.5564115047454834, -2.432551196080155, 1759349335677346071, 
-1.4011611938476562, -3.5602381229400635, -2.379581012591049, 1759349335727411735, 
-1.4056023359298706, -3.5642659664154053, -2.326439611812632, 1759349335777406147, 
-1.4098498821258545, -3.5683600902557373, -2.273897466798569, 1759349335827486562, 
-1.413798451423645, -3.57279372215271, -2.2218864485188012, 1759349335877380918, 
-1.4170042276382446, -3.5766429901123047, -2.179705484292515, 1759349335917475817, 
-1.4206594228744507, -3.581339120864868, -2.1271988850764836, 1759349335967877088, 
-1.4253606796264648, -3.5885138511657715, -2.0526712575560557, 1759349336039084674, 
-1.4276268482208252, -3.5927908420562744, -2.0113416481397612, 1759349336077371256, 
-1.4302867650985718, -3.5980658531188965, -1.9589931360875537, 1759349336127356724, 
-1.4327212572097778, -3.6035969257354736, -1.9061168699129614, 1759349336177404461, 
-1.435046672821045, -3.610092878341675, -1.845950557379002, 1759349336227402180, 
-1.437629222869873, -3.618621349334717, -1.775947597663355, 1759349336278383537, 
-1.4392534494400024, -3.6261134147644043, -1.716798503459165, 1759349336317474957, 
-1.440910816192627, -3.636044502258301, -1.64008888294758, 1759349336367238002, 
