x, y, theta, stamp, 
-0.9631777076719954, -0.9690034746868059, -2.4419774545507344, 2217658000000, 
-0.963177722364534, -0.9690034869306495, -2.4419774538153143, 2217692000000, 
-0.9631777412885332, -0.9690035028751783, -2.4419774530746894, 2217726000000, 
-0.9631777514856286, -0.9690035115444819, -2.4419774523408364, 2217760000000, 
-0.9659043939539337, -0.9712869033826307, -2.450575586314774, 2217794000000, 
-0.9740679177797882, -0.9779931716897652, -2.4193088314757407, 2217896000000, 
-0.981559224753623, -0.9851823602018165, -2.3359689951140035, 2217998000000, 
-0.9884466170032117, -0.9930126335478285, -2.2496870194830545, 2218100000000, 
-0.9945421010908273, -1.0012595709860936, -2.162182393612332, 2218202000000, 
-0.9998835060464832, -1.0099819648052293, -2.0775539297078107, 2218304000000, 
-1.0044877173164233, -1.0190930986966718, -2.000536473424492, 2218406000000, 
-1.0083865154508789, -1.0284325636163982, -1.9318704193615832, 2218508000000, 
-1.0116479299972658, -1.0379206504824123, -1.871722784772635, 2218610000000, 
-1.0143487089306078, -1.0474942356536394, -1.8197865859476996, 2218712000000, 
-1.016565810377863, -1.0571011701801512, -1.7753260476083763, 2218814000000, 
-1.0183703738613614, -1.0667043494089625, -1.737509183301219, 2218916000000, 
-1.0198252809871255, -1.0762743841925837, -1.705513863189938, 2219018000000, 
-1.0209864855092665, -1.0857869368049036, -1.6785221090608062, 2219120000000, 
-1.0219008950210913, -1.0952289733962106, -1.6558088900322008, 2219222000000, 
-1.0223952082770924, -1.1014809709422078, -1.6423120259162995, 2219290000000, 
-1.0229883531152553, -1.1107956969078563, -1.625458670463908, 2219392000000, 
-1.0234322423988278, -1.1200294725970292, -1.611358003022029, 2219494000000, 
-1.023752570101573, -1.1291763575207896, -1.5995673820219423, 2219596000000, 
-1.0239705801087797, -1.1382212716729776, -1.5896317074190167, 2219698000000, 
-1.0241025278909839, -1.147163774966894, -1.5816381839074642, 2219800000000, 
-1.0241663084857093, -1.156036578444269, -1.57474506590074, 2219902000000, 
-1.0241740007963067, -1.164821304588137, -1.5689750336240615, 2220004000000, 
-1.0241357032249598, -1.1735181056627546, -1.5642011462286303, 2220106000000, 
-1.0240599753400212, -1.1821254555286334, -1.5602169159413142, 2220208000000, 
-1.0239535841451448, -1.1906420402427444, -1.556895232539493, 2220310000000, 
-1.0238224510049494, -1.199069332387113, -1.554128306822619, 2220412000000, 
-1.0236714645175167, -1.207409889772365, -1.551822709174881, 2220514000000, 
-1.0235045136794052, -1.2156652362277336, -1.5499023892161228, 2220616000000, 
-1.023386067068538, -1.2211215055616698, -1.5487670563312668, 2220684000000, 
-1.0231995891859693, -1.2292347395793886, -1.5473571386448017, 2220786000000, 
-1.0230047067894052, -1.237262576325486, -1.5461825914113185, 2220888000000, 
-1.0228034333249079, -1.245206337670527, -1.545204778610125, 2220990000000, 
-1.0225974856510398, -1.2530588275679133, -1.5443833479809868, 2221092000000, 
-1.0223881094337401, -1.260821115371995, -1.5437245607071357, 2221194000000, 
-1.0221758857830023, -1.2685209236769708, -1.5431574253077551, 2221296000000, 
-1.0219620799634053, -1.2761402366447356, -1.5426834226990922, 2221398000000, 
-1.0217474637386503, -1.2836798878656583, -1.5422917971069512, 2221500000000, 
-1.0215325619079654, -1.291141385252761, -1.541965485657075, 2221602000000, 
-1.021317835232989, -1.298525424633592, -1.5416938872698818, 2221704000000, 
-1.0211036686233246, -1.3058327994415584, -1.541467943747338, 2221806000000, 
-1.0208904016953202, -1.3130640578114445, -1.5412798157160357, 2221908000000, 
